id;flight_number;origin_airport_id;destination_airport_id;sched_aircraft_type_id;act_aircraft_type_id;scheduled_depart_day;scheduled_depart_hour;scheduled_arrival_day;scheduled_arrival_hour;distance;actual_distance;actual_arival_day;actual_arrival_hour;planned_first_passengers;planned_business_passengers;planned_premium_economy_passengers;planned_economy_passengers;actual_first_passengers;actual_business_passengers;actual_premium_economy_passengers;actual_economy_passengers
291cb2af-9dfb-4f9b-88a4-36b6227b0d1a;AB1002;381fada9-f9a0-4ee4-a994-228b88e53d35;f78fd1f0-294f-48af-93b0-d36b003e52b9;b2017ed7-66c7-4498-b647-500ea1ef03d6;b2017ed7-66c7-4498-b647-500ea1ef03d6;0;11;0;16;3986;3986;0;16;12;23;16;280;12;23;17;258
4e477629-b859-4272-854e-ecb8c95fa0a2;AB1002;381fada9-f9a0-4ee4-a994-228b88e53d35;f78fd1f0-294f-48af-93b0-d36b003e52b9;6f8c4d73-5e4d-48dc-9396-51000e68a562;020941c7-3b40-4654-8b78-c755f48571c6;1;11;1;16;3986;3986;1;16;4;26;6;67;4;27;5;58
6ce222b4-f3e0-4b96-bf4b-04164008aabf;AB1002;381fada9-f9a0-4ee4-a994-228b88e53d35;f78fd1f0-294f-48af-93b0-d36b003e52b9;6f8c4d73-5e4d-48dc-9396-51000e68a562;020941c7-3b40-4654-8b78-c755f48571c6;5;11;5;16;3986;3986;5;16;2;21;17;51;2;21;16;57
35e6f5c2-1e1b-4543-ac0c-45063c819e35;AB1002;381fada9-f9a0-4ee4-a994-228b88e53d35;f78fd1f0-294f-48af-93b0-d36b003e52b9;b2017ed7-66c7-4498-b647-500ea1ef03d6;b2017ed7-66c7-4498-b647-500ea1ef03d6;7;11;7;16;3986;3986;7;16;6;25;21;78;6;25;24;77
fa86d651-8b91-4062-ae01-d1b8080f70c0;AB1002;381fada9-f9a0-4ee4-a994-228b88e53d35;f78fd1f0-294f-48af-93b0-d36b003e52b9;b2017ed7-66c7-4498-b647-500ea1ef03d6;b2017ed7-66c7-4498-b647-500ea1ef03d6;8;11;8;16;3986;3986;8;16;5;14;19;86;5;14;16;96
732d9915-775f-49d1-b751-b38ced139e28;AB1002;381fada9-f9a0-4ee4-a994-228b88e53d35;f78fd1f0-294f-48af-93b0-d36b003e52b9;6f8c4d73-5e4d-48dc-9396-51000e68a562;7e61f470-91fe-40e5-9926-9ec7849506dd;12;11;12;16;3986;3986;12;16;0;3;9;147;0;3;10;171
41a90bf7-2944-4b9f-9690-63af09320542;AB1002;381fada9-f9a0-4ee4-a994-228b88e53d35;f78fd1f0-294f-48af-93b0-d36b003e52b9;020941c7-3b40-4654-8b78-c755f48571c6;020941c7-3b40-4654-8b78-c755f48571c6;14;11;14;16;3986;4338;14;19;9;63;16;38;9;63;17;33
76be2245-030b-45ed-91e2-fa3a53033dda;AB1002;381fada9-f9a0-4ee4-a994-228b88e53d35;f78fd1f0-294f-48af-93b0-d36b003e52b9;6f8c4d73-5e4d-48dc-9396-51000e68a562;6f8c4d73-5e4d-48dc-9396-51000e68a562;15;11;15;16;3986;4295;15;19;1;13;8;96;1;13;8;95
3d0df37a-102c-4526-8d5a-8a601329d311;AB1002;381fada9-f9a0-4ee4-a994-228b88e53d35;f78fd1f0-294f-48af-93b0-d36b003e52b9;6f8c4d73-5e4d-48dc-9396-51000e68a562;6f8c4d73-5e4d-48dc-9396-51000e68a562;19;11;19;16;3986;3986;19;16;0;18;6;116;0;18;6;135
be971cfd-7355-430b-89c8-feaffd118f23;AB1002;381fada9-f9a0-4ee4-a994-228b88e53d35;f78fd1f0-294f-48af-93b0-d36b003e52b9;b2017ed7-66c7-4498-b647-500ea1ef03d6;b2017ed7-66c7-4498-b647-500ea1ef03d6;21;11;21;16;3986;3986;21;16;8;31;16;97;8;31;15;98
ecd2ae0d-a64d-4d05-b8b5-69652ef529ba;AB1002;381fada9-f9a0-4ee4-a994-228b88e53d35;f78fd1f0-294f-48af-93b0-d36b003e52b9;6f8c4d73-5e4d-48dc-9396-51000e68a562;6f8c4d73-5e4d-48dc-9396-51000e68a562;22;11;22;16;3986;3986;22;16;3;17;4;113;3;17;4;105
f3d1b1e3-e0fb-456e-a90d-4ed916914a72;AB1002;381fada9-f9a0-4ee4-a994-228b88e53d35;f78fd1f0-294f-48af-93b0-d36b003e52b9;7e61f470-91fe-40e5-9926-9ec7849506dd;7e61f470-91fe-40e5-9926-9ec7849506dd;26;11;26;16;3986;3986;26;16;2;10;27;19;2;10;27;22
69ff19c9-11ad-4fda-9054-e00a99fc01e5;AB1002;381fada9-f9a0-4ee4-a994-228b88e53d35;f78fd1f0-294f-48af-93b0-d36b003e52b9;6f8c4d73-5e4d-48dc-9396-51000e68a562;6f8c4d73-5e4d-48dc-9396-51000e68a562;28;11;28;16;3986;3986;28;16;4;1;14;33;4;1;13;29
2888084e-024b-4d1c-a25b-77ad81a6110d;AB1002;381fada9-f9a0-4ee4-a994-228b88e53d35;f78fd1f0-294f-48af-93b0-d36b003e52b9;020941c7-3b40-4654-8b78-c755f48571c6;020941c7-3b40-4654-8b78-c755f48571c6;29;11;29;16;3986;3986;29;16;19;31;11;105;19;31;10;92
7e7fba6f-dd29-4855-a305-049826fcabeb;AB1003;f78fd1f0-294f-48af-93b0-d36b003e52b9;381fada9-f9a0-4ee4-a994-228b88e53d35;020941c7-3b40-4654-8b78-c755f48571c6;020941c7-3b40-4654-8b78-c755f48571c6;0;19;0;23;2591;2591;0;23;2;53;8;51;2;55;9;60
01e7dfd2-a760-4a43-a3f9-7f8332a4d1a3;AB1003;f78fd1f0-294f-48af-93b0-d36b003e52b9;381fada9-f9a0-4ee4-a994-228b88e53d35;020941c7-3b40-4654-8b78-c755f48571c6;020941c7-3b40-4654-8b78-c755f48571c6;1;19;1;23;2591;2806;2;0;5;42;0;47;5;43;0;56
084ace19-a007-455f-a6f4-e398d7cb988d;AB1003;f78fd1f0-294f-48af-93b0-d36b003e52b9;381fada9-f9a0-4ee4-a994-228b88e53d35;6f8c4d73-5e4d-48dc-9396-51000e68a562;6f8c4d73-5e4d-48dc-9396-51000e68a562;5;19;5;23;2591;2625;6;1;1;22;6;151;1;22;7;156
79ba7906-b060-4e95-a122-ead7114c2042;AB1003;f78fd1f0-294f-48af-93b0-d36b003e52b9;381fada9-f9a0-4ee4-a994-228b88e53d35;b2017ed7-66c7-4498-b647-500ea1ef03d6;b2017ed7-66c7-4498-b647-500ea1ef03d6;7;19;7;23;2591;2591;7;23;13;60;3;114;13;61;3;116
ced16c3c-6114-475f-92c3-d7cc662f3b8b;AB1003;f78fd1f0-294f-48af-93b0-d36b003e52b9;381fada9-f9a0-4ee4-a994-228b88e53d35;6f8c4d73-5e4d-48dc-9396-51000e68a562;6f8c4d73-5e4d-48dc-9396-51000e68a562;8;19;8;23;2591;2629;9;0;3;3;8;41;3;3;9;44
dab0cc12-3157-4fb6-838f-49c1b7da00e9;AB1003;f78fd1f0-294f-48af-93b0-d36b003e52b9;381fada9-f9a0-4ee4-a994-228b88e53d35;020941c7-3b40-4654-8b78-c755f48571c6;020941c7-3b40-4654-8b78-c755f48571c6;12;19;12;23;2591;2811;13;1;16;61;25;170;16;62;26;168
b532c74b-38f3-4160-8a6f-7790e7313d41;AB1003;f78fd1f0-294f-48af-93b0-d36b003e52b9;381fada9-f9a0-4ee4-a994-228b88e53d35;020941c7-3b40-4654-8b78-c755f48571c6;020941c7-3b40-4654-8b78-c755f48571c6;14;19;14;23;2591;2591;14;23;0;1;10;160;0;1;10;142
24033e4e-6e35-4606-a9bb-b234ee56b26d;AB1003;f78fd1f0-294f-48af-93b0-d36b003e52b9;381fada9-f9a0-4ee4-a994-228b88e53d35;7e61f470-91fe-40e5-9926-9ec7849506dd;7e61f470-91fe-40e5-9926-9ec7849506dd;15;19;15;23;2591;2591;15;23;1;16;16;141;1;16;15;147
a14c6e96-b041-43c6-8d23-f2b0464cb73a;AB1003;f78fd1f0-294f-48af-93b0-d36b003e52b9;381fada9-f9a0-4ee4-a994-228b88e53d35;020941c7-3b40-4654-8b78-c755f48571c6;6f8c4d73-5e4d-48dc-9396-51000e68a562;19;19;19;23;2591;2591;19;23;14;39;23;208;4;30;17;156
64e2a511-9424-4216-a689-946ae0596fbb;AB1003;f78fd1f0-294f-48af-93b0-d36b003e52b9;381fada9-f9a0-4ee4-a994-228b88e53d35;6f8c4d73-5e4d-48dc-9396-51000e68a562;6f8c4d73-5e4d-48dc-9396-51000e68a562;21;19;21;23;2591;2591;21;23;4;25;0;65;4;26;0;56
ef4eb6df-9307-4e67-961d-0156041d7083;AB1003;f78fd1f0-294f-48af-93b0-d36b003e52b9;381fada9-f9a0-4ee4-a994-228b88e53d35;7e61f470-91fe-40e5-9926-9ec7849506dd;7e61f470-91fe-40e5-9926-9ec7849506dd;22;19;22;23;2591;2650;23;2;0;38;11;157;0;40;11;140
bb47d459-02e2-48f2-9eaf-d459a2827686;AB1003;f78fd1f0-294f-48af-93b0-d36b003e52b9;381fada9-f9a0-4ee4-a994-228b88e53d35;7e61f470-91fe-40e5-9926-9ec7849506dd;7e61f470-91fe-40e5-9926-9ec7849506dd;26;19;26;23;2591;2591;26;23;3;13;7;158;3;13;8;143
bf69d020-f83f-4c7a-9099-fb79f7f99f3a;AB1003;f78fd1f0-294f-48af-93b0-d36b003e52b9;381fada9-f9a0-4ee4-a994-228b88e53d35;7e61f470-91fe-40e5-9926-9ec7849506dd;020941c7-3b40-4654-8b78-c755f48571c6;28;19;28;23;2591;2591;28;23;5;19;15;158;5;20;17;151
54a8f43d-995a-4361-900e-79607ed7a77e;AB1003;f78fd1f0-294f-48af-93b0-d36b003e52b9;381fada9-f9a0-4ee4-a994-228b88e53d35;7e61f470-91fe-40e5-9926-9ec7849506dd;7e61f470-91fe-40e5-9926-9ec7849506dd;29;19;29;23;2591;2591;29;23;1;21;3;82;1;22;4;92
bc35a82c-675b-4fc4-8522-2387e3812497;AB1004;381fada9-f9a0-4ee4-a994-228b88e53d35;9970770e-f72b-490a-b9a6-6ea3c2d924de;b2017ed7-66c7-4498-b647-500ea1ef03d6;b2017ed7-66c7-4498-b647-500ea1ef03d6;0;8;0;10;1372;1466;0;13;2;2;8;291;2;2;7;304
64d0489a-c0f6-4017-9a34-52e81acac209;AB1004;381fada9-f9a0-4ee4-a994-228b88e53d35;9970770e-f72b-490a-b9a6-6ea3c2d924de;020941c7-3b40-4654-8b78-c755f48571c6;020941c7-3b40-4654-8b78-c755f48571c6;1;8;1;10;1372;1462;1;11;0;32;18;281;0;32;15;259
6f491f27-1324-428d-ba79-cf7281916308;AB1004;381fada9-f9a0-4ee4-a994-228b88e53d35;9970770e-f72b-490a-b9a6-6ea3c2d924de;020941c7-3b40-4654-8b78-c755f48571c6;020941c7-3b40-4654-8b78-c755f48571c6;2;8;2;10;1372;1508;2;12;1;6;13;110;1;6;13;128
ada267bc-2593-4126-9bce-ee93b0691a6f;AB1004;381fada9-f9a0-4ee4-a994-228b88e53d35;9970770e-f72b-490a-b9a6-6ea3c2d924de;6f8c4d73-5e4d-48dc-9396-51000e68a562;6f8c4d73-5e4d-48dc-9396-51000e68a562;4;8;4;10;1372;1483;4;11;0;8;13;41;0;8;11;36
e0bddfbb-6139-4fbd-b5c0-08dd4f6092ab;AB1004;381fada9-f9a0-4ee4-a994-228b88e53d35;9970770e-f72b-490a-b9a6-6ea3c2d924de;7e61f470-91fe-40e5-9926-9ec7849506dd;7e61f470-91fe-40e5-9926-9ec7849506dd;6;8;6;10;1372;1372;6;10;4;41;20;94;4;41;23;88
8a331c09-a23f-46e4-90e0-2c8ec00f3feb;AB1004;381fada9-f9a0-4ee4-a994-228b88e53d35;9970770e-f72b-490a-b9a6-6ea3c2d924de;b2017ed7-66c7-4498-b647-500ea1ef03d6;b2017ed7-66c7-4498-b647-500ea1ef03d6;7;8;7;10;1372;1444;7;13;4;67;17;278;4;67;18;261
beb8d33c-5bcb-480b-b821-77bdab3422c5;AB1004;381fada9-f9a0-4ee4-a994-228b88e53d35;9970770e-f72b-490a-b9a6-6ea3c2d924de;b2017ed7-66c7-4498-b647-500ea1ef03d6;b2017ed7-66c7-4498-b647-500ea1ef03d6;8;8;8;10;1372;1372;8;10;1;41;22;283;1;43;21;299
fb3fe182-a7f7-4dee-889a-171f491baddf;AB1004;381fada9-f9a0-4ee4-a994-228b88e53d35;9970770e-f72b-490a-b9a6-6ea3c2d924de;020941c7-3b40-4654-8b78-c755f48571c6;020941c7-3b40-4654-8b78-c755f48571c6;9;8;9;10;1372;1372;9;10;8;40;25;176;8;41;28;206
9fd4b451-2927-4355-805c-b2962887d0c2;AB1004;381fada9-f9a0-4ee4-a994-228b88e53d35;9970770e-f72b-490a-b9a6-6ea3c2d924de;020941c7-3b40-4654-8b78-c755f48571c6;020941c7-3b40-4654-8b78-c755f48571c6;11;8;11;10;1372;1422;11;11;14;52;23;328;14;54;24;314
74a67da1-82f9-42a7-ad14-0fe10e7f94c2;AB1004;381fada9-f9a0-4ee4-a994-228b88e53d35;9970770e-f72b-490a-b9a6-6ea3c2d924de;7e61f470-91fe-40e5-9926-9ec7849506dd;7e61f470-91fe-40e5-9926-9ec7849506dd;13;8;13;10;1372;1372;13;10;0;38;26;29;0;37;27;25
42a9f9a3-2b8d-4589-99cc-dd95d904fc37;AB1004;381fada9-f9a0-4ee4-a994-228b88e53d35;9970770e-f72b-490a-b9a6-6ea3c2d924de;6f8c4d73-5e4d-48dc-9396-51000e68a562;6f8c4d73-5e4d-48dc-9396-51000e68a562;14;8;14;10;1372;1372;14;10;4;7;12;74;4;7;12;78
6b0f7cd3-3cdb-49cb-93d1-d46a865501e1;AB1004;381fada9-f9a0-4ee4-a994-228b88e53d35;9970770e-f72b-490a-b9a6-6ea3c2d924de;6f8c4d73-5e4d-48dc-9396-51000e68a562;6f8c4d73-5e4d-48dc-9396-51000e68a562;15;8;15;10;1372;1372;15;10;4;5;9;104;4;5;8;101
17ae94ed-a172-40dc-81e9-c29c3c754655;AB1004;381fada9-f9a0-4ee4-a994-228b88e53d35;9970770e-f72b-490a-b9a6-6ea3c2d924de;7e61f470-91fe-40e5-9926-9ec7849506dd;7e61f470-91fe-40e5-9926-9ec7849506dd;16;8;16;10;1372;1372;16;10;1;7;8;96;1;7;8;108
02c09e5d-adde-4ee3-b58a-d0f492b4d3d9;AB1004;381fada9-f9a0-4ee4-a994-228b88e53d35;9970770e-f72b-490a-b9a6-6ea3c2d924de;b2017ed7-66c7-4498-b647-500ea1ef03d6;020941c7-3b40-4654-8b78-c755f48571c6;18;8;18;10;1372;1394;18;13;1;61;13;224;1;63;14;203
bf68059d-d931-474c-aff7-71d159b81a9e;AB1004;381fada9-f9a0-4ee4-a994-228b88e53d35;9970770e-f72b-490a-b9a6-6ea3c2d924de;020941c7-3b40-4654-8b78-c755f48571c6;020941c7-3b40-4654-8b78-c755f48571c6;20;8;20;10;1372;1372;20;10;14;6;11;326;15;6;13;301
d2288937-d66a-4650-951e-e15afc93df51;AB1004;381fada9-f9a0-4ee4-a994-228b88e53d35;9970770e-f72b-490a-b9a6-6ea3c2d924de;b2017ed7-66c7-4498-b647-500ea1ef03d6;b2017ed7-66c7-4498-b647-500ea1ef03d6;21;8;21;10;1372;1443;21;13;4;54;23;273;4;56;27;248
e41d8ec0-270a-4269-8853-06a79ee22213;AB1004;381fada9-f9a0-4ee4-a994-228b88e53d35;9970770e-f72b-490a-b9a6-6ea3c2d924de;b2017ed7-66c7-4498-b647-500ea1ef03d6;b2017ed7-66c7-4498-b647-500ea1ef03d6;22;8;22;10;1372;1372;22;10;10;11;29;25;10;11;26;23
acf131b5-a532-4fee-af1a-bec6eebb010f;AB1004;381fada9-f9a0-4ee4-a994-228b88e53d35;9970770e-f72b-490a-b9a6-6ea3c2d924de;020941c7-3b40-4654-8b78-c755f48571c6;020941c7-3b40-4654-8b78-c755f48571c6;23;8;23;10;1372;1464;23;11;15;20;1;76;15;20;1;83
f077c526-3deb-4b99-b928-a240bded457f;AB1004;381fada9-f9a0-4ee4-a994-228b88e53d35;9970770e-f72b-490a-b9a6-6ea3c2d924de;7e61f470-91fe-40e5-9926-9ec7849506dd;7e61f470-91fe-40e5-9926-9ec7849506dd;25;8;25;10;1372;1372;25;10;5;6;7;143;5;6;8;143
fc24116b-2987-427a-a3e4-8ff9f4e0e87a;AB1004;381fada9-f9a0-4ee4-a994-228b88e53d35;9970770e-f72b-490a-b9a6-6ea3c2d924de;b2017ed7-66c7-4498-b647-500ea1ef03d6;b2017ed7-66c7-4498-b647-500ea1ef03d6;27;8;27;10;1372;1372;27;10;11;57;15;219;11;58;18;252
6a5ae805-a7fd-4d24-ba32-6761472244e7;AB1004;381fada9-f9a0-4ee4-a994-228b88e53d35;9970770e-f72b-490a-b9a6-6ea3c2d924de;7e61f470-91fe-40e5-9926-9ec7849506dd;6f8c4d73-5e4d-48dc-9396-51000e68a562;28;8;28;10;1372;1372;28;10;2;35;23;12;2;30;17;13
4bbbcc92-7c28-41f6-82b0-50a512cc9596;AB1004;381fada9-f9a0-4ee4-a994-228b88e53d35;9970770e-f72b-490a-b9a6-6ea3c2d924de;6f8c4d73-5e4d-48dc-9396-51000e68a562;6f8c4d73-5e4d-48dc-9396-51000e68a562;29;8;29;10;1372;1372;29;10;3;22;8;77;3;23;9;87
17105408-c9b4-43fe-98c1-33d8b27bc72f;AB1005;9970770e-f72b-490a-b9a6-6ea3c2d924de;381fada9-f9a0-4ee4-a994-228b88e53d35;7e61f470-91fe-40e5-9926-9ec7849506dd;7e61f470-91fe-40e5-9926-9ec7849506dd;0;17;0;21;3280;3280;0;21;2;29;5;14;2;29;5;12
dfbfa513-897d-42b0-9c0f-c9ab7cba0bd5;AB1005;9970770e-f72b-490a-b9a6-6ea3c2d924de;381fada9-f9a0-4ee4-a994-228b88e53d35;b2017ed7-66c7-4498-b647-500ea1ef03d6;7e61f470-91fe-40e5-9926-9ec7849506dd;1;17;1;21;3280;3280;1;21;3;39;12;45;3;40;13;38
4d827cb7-69f9-4e7a-bb3d-31c9d1065016;AB1005;9970770e-f72b-490a-b9a6-6ea3c2d924de;381fada9-f9a0-4ee4-a994-228b88e53d35;b2017ed7-66c7-4498-b647-500ea1ef03d6;b2017ed7-66c7-4498-b647-500ea1ef03d6;2;17;2;21;3280;3280;2;21;13;3;0;35;13;3;0;41
e4c7a2ef-fa9d-4cb2-9924-b8a6090dbeae;AB1005;9970770e-f72b-490a-b9a6-6ea3c2d924de;381fada9-f9a0-4ee4-a994-228b88e53d35;6f8c4d73-5e4d-48dc-9396-51000e68a562;6f8c4d73-5e4d-48dc-9396-51000e68a562;4;17;4;21;3280;3280;4;21;2;27;14;45;2;27;13;48
9cf0fef3-2503-48c1-afce-6bc992a8a1ec;AB1005;9970770e-f72b-490a-b9a6-6ea3c2d924de;381fada9-f9a0-4ee4-a994-228b88e53d35;7e61f470-91fe-40e5-9926-9ec7849506dd;7e61f470-91fe-40e5-9926-9ec7849506dd;6;17;6;21;3280;3280;6;21;1;26;10;136;1;26;10;127
65ffa897-527a-41db-a287-0509c24ae597;AB1005;9970770e-f72b-490a-b9a6-6ea3c2d924de;381fada9-f9a0-4ee4-a994-228b88e53d35;b2017ed7-66c7-4498-b647-500ea1ef03d6;b2017ed7-66c7-4498-b647-500ea1ef03d6;7;17;7;21;3280;3280;7;21;11;61;27;159;11;62;29;189
48e98f7e-7276-4daa-9182-edf0c1e1e285;AB1005;9970770e-f72b-490a-b9a6-6ea3c2d924de;381fada9-f9a0-4ee4-a994-228b88e53d35;7e61f470-91fe-40e5-9926-9ec7849506dd;7e61f470-91fe-40e5-9926-9ec7849506dd;8;17;8;21;3280;3280;8;21;1;34;1;111;1;34;1;104
fab76988-b582-4616-a249-70b758fb9edb;AB1005;9970770e-f72b-490a-b9a6-6ea3c2d924de;381fada9-f9a0-4ee4-a994-228b88e53d35;020941c7-3b40-4654-8b78-c755f48571c6;020941c7-3b40-4654-8b78-c755f48571c6;9;17;9;21;3280;3280;9;21;2;22;11;143;2;23;12;152
37785e9d-cff2-41c4-8f1d-934f386682ae;AB1005;9970770e-f72b-490a-b9a6-6ea3c2d924de;381fada9-f9a0-4ee4-a994-228b88e53d35;b2017ed7-66c7-4498-b647-500ea1ef03d6;b2017ed7-66c7-4498-b647-500ea1ef03d6;11;17;11;21;3280;3280;11;21;3;13;8;107;3;13;8;111
c41949ba-1fdd-4e23-a146-958b702c8404;AB1005;9970770e-f72b-490a-b9a6-6ea3c2d924de;381fada9-f9a0-4ee4-a994-228b88e53d35;020941c7-3b40-4654-8b78-c755f48571c6;b2017ed7-66c7-4498-b647-500ea1ef03d6;13;17;13;21;3280;3280;13;21;9;1;5;222;9;1;6;258
be39fffb-96d1-4633-acd6-f409c1b3a1ce;AB1005;9970770e-f72b-490a-b9a6-6ea3c2d924de;381fada9-f9a0-4ee4-a994-228b88e53d35;6f8c4d73-5e4d-48dc-9396-51000e68a562;6f8c4d73-5e4d-48dc-9396-51000e68a562;14;17;14;21;3280;3280;14;21;1;17;10;47;1;17;12;55
72f54c26-b632-4678-8b93-f11556be12e0;AB1005;9970770e-f72b-490a-b9a6-6ea3c2d924de;381fada9-f9a0-4ee4-a994-228b88e53d35;7e61f470-91fe-40e5-9926-9ec7849506dd;7e61f470-91fe-40e5-9926-9ec7849506dd;15;17;15;21;3280;3503;15;23;3;39;16;179;3;39;15;159
66767d85-8f5d-409b-97a9-c8f47b03cc43;AB1005;9970770e-f72b-490a-b9a6-6ea3c2d924de;381fada9-f9a0-4ee4-a994-228b88e53d35;b2017ed7-66c7-4498-b647-500ea1ef03d6;b2017ed7-66c7-4498-b647-500ea1ef03d6;16;17;16;21;3280;3280;16;21;13;61;22;155;13;61;21;183
047e623c-b609-4b0b-a29b-1bc330ff3869;AB1005;9970770e-f72b-490a-b9a6-6ea3c2d924de;381fada9-f9a0-4ee4-a994-228b88e53d35;6f8c4d73-5e4d-48dc-9396-51000e68a562;6f8c4d73-5e4d-48dc-9396-51000e68a562;18;17;18;21;3280;3280;18;21;0;3;3;115;0;3;4;122
853e6e99-480f-4f03-bb46-078d3b708b0f;AB1005;9970770e-f72b-490a-b9a6-6ea3c2d924de;381fada9-f9a0-4ee4-a994-228b88e53d35;6f8c4d73-5e4d-48dc-9396-51000e68a562;6f8c4d73-5e4d-48dc-9396-51000e68a562;20;17;20;21;3280;3280;20;21;1;13;13;145;1;13;12;152
e35343e7-87f9-49bc-8308-fa1d1b998b56;AB1005;9970770e-f72b-490a-b9a6-6ea3c2d924de;381fada9-f9a0-4ee4-a994-228b88e53d35;020941c7-3b40-4654-8b78-c755f48571c6;020941c7-3b40-4654-8b78-c755f48571c6;21;17;21;21;3280;3280;21;21;9;27;7;323;9;27;7;329
3c6f5c52-bc3c-4187-a5a9-b69aa56e6a36;AB1005;9970770e-f72b-490a-b9a6-6ea3c2d924de;381fada9-f9a0-4ee4-a994-228b88e53d35;7e61f470-91fe-40e5-9926-9ec7849506dd;7e61f470-91fe-40e5-9926-9ec7849506dd;22;17;22;21;3280;3280;22;21;7;20;26;177;7;20;26;155
8d16042b-4817-4896-bbd8-0fa217d95812;AB1005;9970770e-f72b-490a-b9a6-6ea3c2d924de;381fada9-f9a0-4ee4-a994-228b88e53d35;7e61f470-91fe-40e5-9926-9ec7849506dd;7e61f470-91fe-40e5-9926-9ec7849506dd;23;17;23;21;3280;3280;23;21;2;23;26;38;2;23;24;34
a0494d35-8970-4516-a081-bd246223575a;AB1005;9970770e-f72b-490a-b9a6-6ea3c2d924de;381fada9-f9a0-4ee4-a994-228b88e53d35;020941c7-3b40-4654-8b78-c755f48571c6;7e61f470-91fe-40e5-9926-9ec7849506dd;25;17;25;21;3280;3280;25;21;4;62;15;57;4;41;13;55
